epoch;dice_coef;jacard_coef;loss;lr;val_dice_coef;val_jacard_coef;val_loss
0;0.08345279097557068;0.04364767670631409;-0.08347329497337341;1e-05;0.14394600689411163;0.0776715949177742;-0.1389966458082199
1;0.09547796100378036;0.050291310995817184;-0.09568864107131958;1e-05;0.1547195017337799;0.08401133865118027;-0.1488090455532074
2;0.11095628887414932;0.0589187890291214;-0.1106332540512085;1e-05;0.16014109551906586;0.08721677213907242;-0.1540772020816803
3;0.1285516619682312;0.06887179613113403;-0.12846103310585022;1e-05;0.1721906214952469;0.09439831972122192;-0.16594476997852325
4;0.1452276110649109;0.07853367924690247;-0.14535754919052124;1e-05;0.18745474517345428;0.1036328598856926;-0.18101242184638977
5;0.15957733988761902;0.08700383454561234;-0.15950335562229156;1e-05;0.2013230323791504;0.11215462535619736;-0.1947861611843109
6;0.17046892642974854;0.09342346340417862;-0.1705555021762848;1e-05;0.21215565502643585;0.11890032142400742;-0.2055976688861847
7;0.17751570045948029;0.09772516041994095;-0.1774100959300995;1e-05;0.22121243178844452;0.12460386008024216;-0.214633509516716
8;0.1838098168373108;0.10158463567495346;-0.18367695808410645;1e-05;0.22751305997371674;0.12860290706157684;-0.22095747292041779
9;0.18877874314785004;0.10459300130605698;-0.1886264532804489;1e-05;0.23200459778308868;0.1314711719751358;-0.22545075416564941
10;0.1914706826210022;0.10623595118522644;-0.19143694639205933;1e-05;0.2355126142501831;0.13372059166431427;-0.22896985709667206
11;0.1944919228553772;0.10801710933446884;-0.19480788707733154;1e-05;0.2390088587999344;0.13597261905670166;-0.23246288299560547
12;0.1962863802909851;0.10914257913827896;-0.19638150930404663;1e-05;0.24189281463623047;0.1378372311592102;-0.23533792793750763
13;0.1982669234275818;0.11038248240947723;-0.19840528070926666;1e-05;0.24439842998981476;0.1394617110490799;-0.23784513771533966
14;0.1996038556098938;0.11126692593097687;-0.19998130202293396;1e-05;0.2458086758852005;0.14037950336933136;-0.23922070860862732
15;0.20099496841430664;0.1121196448802948;-0.2011239379644394;1e-05;0.2476872205734253;0.14160412549972534;-0.24107369780540466
16;0.2025080919265747;0.11296344548463821;-0.20242883265018463;1e-05;0.24854333698749542;0.1421642154455185;-0.24188733100891113
17;0.2032739669084549;0.11353657394647598;-0.20329143106937408;1e-05;0.2499261051416397;0.14306725561618805;-0.2432633936405182
18;0.20421789586544037;0.11412297189235687;-0.20426543056964874;1e-05;0.2522221505641937;0.144569531083107;-0.24556171894073486
19;0.20548267662525177;0.11479492485523224;-0.20548801124095917;1e-05;0.25340351462364197;0.14534491300582886;-0.24672970175743103
20;0.20617428421974182;0.11525841057300568;-0.20608386397361755;1e-05;0.2542142868041992;0.1458786278963089;-0.24750880897045135
21;0.20634616911411285;0.1153998151421547;-0.2062775045633316;1e-05;0.25464215874671936;0.14616036415100098;-0.24791553616523743
22;0.2065359503030777;0.11561373621225357;-0.20666711032390594;1e-05;0.2559022605419159;0.14699001610279083;-0.2491527795791626
23;0.20687641203403473;0.1158735379576683;-0.20714934170246124;1e-05;0.25691115856170654;0.1476554274559021;-0.25013962388038635
24;0.20869480073451996;0.11683458089828491;-0.2087482511997223;1e-05;0.2575679421424866;0.14808861911296844;-0.2507884204387665
25;0.208372101187706;0.1167246624827385;-0.20846626162528992;1e-05;0.25828298926353455;0.1485607922077179;-0.2514917254447937
26;0.20937417447566986;0.11728720366954803;-0.2094477117061615;1e-05;0.25889095664024353;0.14896343648433685;-0.25207892060279846
27;0.20983682572841644;0.11756987869739532;-0.2099529504776001;1e-05;0.2593265473842621;0.14925150573253632;-0.2525031268596649
28;0.20978552103042603;0.11762349307537079;-0.20986805856227875;1e-05;0.2595626413822174;0.14940762519836426;-0.2527298331260681
29;0.210786834359169;0.118236243724823;-0.21058057248592377;1e-05;0.26024186611175537;0.14985699951648712;-0.25339561700820923
30;0.21115298569202423;0.11842425167560577;-0.21102656424045563;1e-05;0.2608600854873657;0.15026749670505524;-0.2539884150028229
31;0.21014916896820068;0.11794225871562958;-0.2104628086090088;1e-05;0.26187804341316223;0.15094222128391266;-0.25499945878982544
32;0.2117525339126587;0.11880530416965485;-0.21180760860443115;1e-05;0.26195475459098816;0.15099389851093292;-0.25506502389907837
33;0.21219968795776367;0.11902123689651489;-0.21221180260181427;1e-05;0.26232394576072693;0.1512390375137329;-0.255420058965683
34;0.21280795335769653;0.11948881298303604;-0.21257281303405762;1e-05;0.2628447711467743;0.1515849232673645;-0.25593435764312744
35;0.21231384575366974;0.11928606033325195;-0.21213392913341522;1e-05;0.2627771496772766;0.1515405923128128;-0.25585058331489563
36;0.21267761290073395;0.11947829276323318;-0.21250250935554504;1e-05;0.263090044260025;0.15174955129623413;-0.25614166259765625
37;0.2131224423646927;0.11971786618232727;-0.21292118728160858;1e-05;0.2636292278766632;0.1521088033914566;-0.2566584646701813
38;0.21348202228546143;0.11990771442651749;-0.21343575417995453;1e-05;0.26379063725471497;0.15221650898456573;-0.2568066716194153
39;0.2137882113456726;0.12002532929182053;-0.21401269733905792;1e-05;0.26426029205322266;0.1525292843580246;-0.2572689652442932
40;0.21366570889949799;0.12003802508115768;-0.213644340634346;1e-05;0.26471206545829773;0.15283037722110748;-0.2577052712440491
41;0.21462465822696686;0.12059001624584198;-0.2145371437072754;1e-05;0.26514652371406555;0.15311823785305023;-0.2581540644168854
42;0.21444202959537506;0.12057341635227203;-0.21427473425865173;1e-05;0.2654995918273926;0.15335284173488617;-0.2585112452507019
