epoch;dice_coef;jacard_coef;loss;lr;val_dice_coef;val_jacard_coef;val_loss
0;0.42137569189071655;0.27192601561546326;-0.4225594997406006;1e-05;0.12523339688777924;0.06683631986379623;-0.1280970573425293
1;0.5129849910736084;0.34775301814079285;-0.5155394673347473;1e-05;0.11036211997270584;0.05843014642596245;-0.11205792427062988
2;0.5358057618141174;0.3692918121814728;-0.5393403172492981;1e-05;0.04802734777331352;0.024622395634651184;-0.04779856279492378
3;0.5550994277000427;0.3870604634284973;-0.5575802326202393;1e-05;0.18714885413646698;0.10592377185821533;-0.20023314654827118
4;0.5666101574897766;0.39867064356803894;-0.569514274597168;1e-05;0.4292064607143402;0.2761695981025696;-0.41121965646743774
5;0.5830973982810974;0.41379767656326294;-0.5830382704734802;1e-05;0.6216471791267395;0.4514828622341156;-0.6147565245628357
6;0.5881063342094421;0.42020684480667114;-0.5916733741760254;1e-05;0.6255105137825012;0.45660027861595154;-0.628835141658783
7;0.6048758029937744;0.43629682064056396;-0.6040856242179871;1e-05;0.6374311447143555;0.4691581726074219;-0.640094518661499
8;0.6127735376358032;0.4440171718597412;-0.6129171252250671;1e-05;0.6532590389251709;0.48624348640441895;-0.6552883982658386
9;0.6214677095413208;0.4529004693031311;-0.6222874522209167;1e-05;0.6490127444267273;0.4817459285259247;-0.650814414024353
10;0.6246622800827026;0.45692896842956543;-0.6250301599502563;1e-05;0.6488251090049744;0.48176702857017517;-0.6508086323738098
11;0.6296891570091248;0.4630222022533417;-0.6338169574737549;1e-05;0.6467326879501343;0.47942355275154114;-0.6494877934455872
12;0.6373416781425476;0.47046005725860596;-0.63752281665802;1e-05;0.6474418640136719;0.48021939396858215;-0.6502128839492798
13;0.6409674286842346;0.4746621251106262;-0.6411612629890442;1e-05;0.6446890830993652;0.4772770404815674;-0.6476733684539795
14;0.6472520232200623;0.4810454547405243;-0.6465002298355103;1e-05;0.6500195860862732;0.4831139147281647;-0.6518164873123169
15;0.6478747725486755;0.4822039008140564;-0.649711012840271;1e-05;0.6699962615966797;0.5051606297492981;-0.671069324016571
16;0.6505404710769653;0.48576655983924866;-0.6549246907234192;1e-05;0.6681699752807617;0.5030941367149353;-0.6692061424255371
17;0.6575179100036621;0.4921092987060547;-0.657711923122406;1e-05;0.6601501107215881;0.4945758283138275;-0.6616889238357544
