epoch;loss;lr;precision;recall;val_loss;val_precision;val_recall
0;0.43771204352378845;0.002;0.34531405568122864;0.8302591443061829;0.26632609963417053;0.0;0.0
1;0.2077839970588684;0.002;0.6563811302185059;0.7158928513526917;0.2303682267665863;0.0;0.0
2;0.15609535574913025;0.002;0.6936324834823608;0.6773711442947388;0.19464072585105896;1.0;0.0006653842865489423
3;0.13647343218326569;0.002;0.7085709571838379;0.6565678715705872;0.1486610472202301;0.9144744873046875;0.08873806893825531
4;0.12578292191028595;0.002;0.7163223624229431;0.6540476083755493;0.10848160833120346;0.8106816411018372;0.4041786193847656
5;0.11881107836961746;0.002;0.7207670211791992;0.6568304300308228;0.09211499989032745;0.7706642746925354;0.608875036239624
6;0.11387506127357483;0.002;0.7275047898292542;0.6557307839393616;0.08522297441959381;0.7011794447898865;0.7788988351821899
7;0.11072319000959396;0.002;0.7296832203865051;0.6556195616722107;0.08376677334308624;0.6981058120727539;0.79811030626297
8;0.10885999351739883;0.002;0.731240451335907;0.6496730446815491;0.08589892089366913;0.6710662841796875;0.8451348543167114
9;0.1059492751955986;0.002;0.7328956127166748;0.6598690748214722;0.0822727307677269;0.6819370985031128;0.8327223658561707
10;0.10516030341386795;0.002;0.7338316440582275;0.6550577878952026;0.07711274921894073;0.7151742577552795;0.7887344360351562
11;0.10266625136137009;0.002;0.7360492944717407;0.6621741056442261;0.08090561628341675;0.6859617233276367;0.8318029642105103
12;0.10187028348445892;0.002;0.7399204969406128;0.6555010080337524;0.07832600176334381;0.7010149359703064;0.8096879720687866
13;0.09939736872911453;0.002;0.7434555292129517;0.6638240218162537;0.07874759286642075;0.6888862252235413;0.8274235129356384
14;0.09908585995435715;0.002;0.7397181391716003;0.6725042462348938;0.07686077058315277;0.6964019536972046;0.8197776675224304
15;0.09779582917690277;0.002;0.7458840012550354;0.6650289297103882;0.07532484829425812;0.7245616912841797;0.7789351344108582
16;0.09730025380849838;0.002;0.7444455027580261;0.6685121059417725;0.07911544293165207;0.683197021484375;0.8348395228385925
17;0.09681230038404465;0.002;0.7428594827651978;0.6714535355567932;0.0744684487581253;0.7084186673164368;0.8078007102012634
18;0.09631048142910004;0.002;0.7460986375808716;0.6706684231758118;0.07779400050640106;0.6885361075401306;0.8295769095420837
19;0.09526219964027405;0.002;0.7480663657188416;0.6707516312599182;0.07584629952907562;0.7019911408424377;0.8154950141906738
20;0.09464488178491592;0.002;0.7491900324821472;0.670965313911438;0.0751439779996872;0.7022174000740051;0.8118414282798767
21;0.0938459187746048;0.002;0.7517655491828918;0.6730979681015015;0.0740215927362442;0.7163916826248169;0.7895570993423462
22;0.09328510612249374;0.002;0.750338613986969;0.6758652329444885;0.07674192637205124;0.6915838718414307;0.8260201811790466
23;0.09309767931699753;0.002;0.7506881356239319;0.6771257519721985;0.07324263453483582;0.7136993408203125;0.8014492988586426
24;0.0925111398100853;0.002;0.7479130625724792;0.683185875415802;0.07233576476573944;0.7295112013816833;0.7781487703323364
25;0.09222317487001419;0.002;0.7540563941001892;0.676228404045105;0.07409404963254929;0.7146070003509521;0.7956907153129578
26;0.09178461879491806;0.002;0.7485156655311584;0.6881577968597412;0.07129998505115509;0.7323084473609924;0.772813618183136
27;0.09091159701347351;0.002;0.7555335760116577;0.6806702613830566;0.07630334794521332;0.6857932209968567;0.8318392634391785
28;0.09071960300207138;0.002;0.7498659491539001;0.6899122595787048;0.07304035127162933;0.7292746901512146;0.7624214887619019
29;0.09062854200601578;0.002;0.7537984848022461;0.6842501163482666;0.07602301239967346;0.687613308429718;0.8305447697639465
30;0.09023850411176682;0.002;0.7526289820671082;0.6891934871673584;0.07279570400714874;0.7083643674850464;0.8061191439628601
31;0.08979573100805283;0.00020000001;0.7524015307426453;0.69062739610672;0.07285040616989136;0.7146176695823669;0.7961262464523315
32;0.08947572857141495;0.00020000001;0.7541462182998657;0.6893065571784973;0.07252451777458191;0.7193557024002075;0.7839557528495789
33;0.08933721482753754;0.00020000001;0.756931722164154;0.6873152852058411;0.0727008655667305;0.7194425463676453;0.7850687503814697
34;0.08915156126022339;0.00020000001;0.7535015344619751;0.6938453912734985;0.07286634296178818;0.7187440991401672;0.7840283513069153
35;0.08912409842014313;2.0000001e-05;0.7601163983345032;0.6817516684532166;0.07241447269916534;0.7241293787956238;0.7770599722862244
36;0.08929572999477386;2.0000001e-05;0.7612124681472778;0.6797958016395569;0.07245781272649765;0.7227473258972168;0.7798787951469421
37;0.08953534811735153;2.0000001e-05;0.7565763592720032;0.6850749850273132;0.07258068025112152;0.7195906043052673;0.7851171493530273
38;0.08915223926305771;2.0000001e-05;0.758418083190918;0.6860622763633728;0.07273855805397034;0.7185550928115845;0.7874036431312561
39;0.08924093842506409;1e-05;0.7573162913322449;0.6855247020721436;0.07260934263467789;0.7195204496383667;0.7855889797210693
40;0.08908339589834213;1e-05;0.7578492164611816;0.686843991279602;0.07260415703058243;0.7199777960777283;0.7841372489929199
41;0.08923278003931046;1e-05;0.7573174834251404;0.6873714327812195;0.07231580466032028;0.7224007248878479;0.7806409597396851
