epoch;loss;lr;precision_1;recall_1;val_loss;val_precision_1;val_recall_1
0;0.13723230361938477;0.002;0.694989025592804;0.6503843069076538;0.8049826622009277;0.617800235748291;0.32004937529563904
1;0.08681141585111618;0.002;0.7412961721420288;0.6659705638885498;3.748208999633789;0.8457356691360474;0.15932513773441315
2;0.08334086835384369;0.002;0.749945342540741;0.6671399474143982;0.5197157859802246;0.4448855519294739;0.6804627180099487
3;0.08133940398693085;0.002;0.7564525008201599;0.671673595905304;0.09562987834215164;0.7718105912208557;0.6915276050567627
4;0.07823191583156586;0.002;0.76090407371521;0.6934105157852173;0.08221069723367691;0.8167850375175476;0.7068172693252563
5;0.07806996256113052;0.002;0.7626057863235474;0.6900283694267273;0.08418293297290802;0.7703518271446228;0.7704997658729553
6;0.07616454362869263;0.002;0.765722393989563;0.7055870890617371;0.0947171226143837;0.6828478574752808;0.8851264119148254
7;0.07458093762397766;0.002;0.769960343837738;0.7139201760292053;0.12140212208032608;0.8845607042312622;0.43254539370536804
8;0.07366269081830978;0.002;0.7724420428276062;0.7194396257400513;0.11095979064702988;0.8697664737701416;0.5119656324386597
9;0.07017488032579422;0.00020000001;0.785128116607666;0.7344768643379211;0.08501869440078735;0.8059787154197693;0.7179552912712097
0;0.13327531516551971;0.002;0.6707162261009216;0.6576405167579651;61.733741760253906;0.5580645203590393;0.001582003547810018
1;0.08614049106836319;0.002;0.7427717447280884;0.6676758527755737;0.9198225140571594;0.7236096262931824;0.06306067109107971
2;0.08359545469284058;0.002;0.751105546951294;0.6637405157089233;0.08754021674394608;0.7635564208030701;0.7639614343643188
3;0.08030534535646439;0.002;0.7582191824913025;0.678734540939331;0.10704636573791504;0.865108847618103;0.5301723480224609
4;0.08022918552160263;0.002;0.7574955224990845;0.6763303875923157;0.12389741837978363;0.8320176601409912;0.5484065413475037
5;0.07774370908737183;0.002;0.7607336044311523;0.6953526139259338;0.10377886146306992;0.787185788154602;0.660061240196228
6;0.07653830945491791;0.002;0.7643832564353943;0.7007907032966614;0.0905812606215477;0.8512188792228699;0.62583327293396
7;0.07326547801494598;0.00020000001;0.7770479917526245;0.7137775421142578;0.0824393481016159;0.8241742849349976;0.6998491287231445
8;0.07213414460420609;0.00020000001;0.7757667303085327;0.7271028161048889;0.08091670274734497;0.8113084435462952;0.726130485534668
9;0.07178507000207901;0.00020000001;0.7795122265815735;0.7258195281028748;0.08040618896484375;0.8055658340454102;0.7361437678337097
10;0.07070222496986389;0.00020000001;0.7790896892547607;0.7376827001571655;0.08112480491399765;0.8117932081222534;0.7207443714141846
11;0.06998419016599655;0.00020000001;0.7833747863769531;0.7379253506660461;0.07960036396980286;0.7868375778198242;0.7700150609016418
12;0.06946443021297455;0.00020000001;0.7830924987792969;0.7443885207176208;0.0834285244345665;0.8200409412384033;0.6959718465805054
13;0.06891975551843643;0.00020000001;0.7838490009307861;0.7495213747024536;0.08113499730825424;0.7905722260475159;0.7533262968063354
14;0.06818974763154984;0.00020000001;0.7868623733520508;0.7533472776412964;0.08124004304409027;0.8100066184997559;0.7246764898300171
15;0.0671410784125328;0.00020000001;0.7912808656692505;0.7557271718978882;0.08107723295688629;0.7805553078651428;0.7712404727935791
16;0.06592116504907608;2.0000001e-05;0.7936851382255554;0.7659890055656433;0.08313702046871185;0.7950310111045837;0.7388688325881958
17;0.06554578989744186;2.0000001e-05;0.7943159937858582;0.7675023674964905;0.08454197645187378;0.799095630645752;0.7255909442901611
18;0.06517023593187332;2.0000001e-05;0.7989083528518677;0.7635625600814819;0.08438415825366974;0.7890942692756653;0.7417219281196594
19;0.06491628289222717;2.0000001e-05;0.7984171509742737;0.7673168182373047;0.08523186296224594;0.7906748056411743;0.7356590628623962
20;0.06459125876426697;1e-05;0.7966350317001343;0.7721505165100098;0.0858064666390419;0.7937200665473938;0.728599488735199
21;0.06466274708509445;1e-05;0.8003225326538086;0.7662898302078247;0.0865219458937645;0.7947068810462952;0.725472092628479
22;0.06465904414653778;1e-05;0.7967178821563721;0.7734909057617188;0.08631399273872375;0.7969920039176941;0.723003089427948
23;0.06448524445295334;1e-05;0.7983375191688538;0.7710154056549072;0.08613226562738419;0.7949909567832947;0.7259567379951477
24;0.06457948684692383;1e-05;0.7985455393791199;0.7697811722755432;0.0862429141998291;0.7956128120422363;0.7240363955497742
25;0.06469901651144028;1e-05;0.7992442846298218;0.7685641646385193;0.08584002405405045;0.793255090713501;0.7291664481163025
26;0.06406737864017487;1e-05;0.8013532161712646;0.7697463631629944;0.08619321137666702;0.7925353050231934;0.7293310761451721
