epoch;dice_coef;jacard_coef;loss;lr;val_dice_coef;val_jacard_coef;val_loss
0;0.36312413215637207;0.22817838191986084;-0.3627755343914032;0.002;0.39678117632865906;0.24769143760204315;-0.3917689323425293
1;0.5341118574142456;0.3664332926273346;-0.5339434146881104;0.002;0.594461977481842;0.42302456498146057;-0.5922237634658813
2;0.607435941696167;0.43723171949386597;-0.6074281930923462;0.002;0.6721150279045105;0.5064451098442078;-0.669645369052887
3;0.6363057494163513;0.46785834431648254;-0.6365582346916199;0.002;0.6973876953125;0.5357367396354675;-0.6954702734947205
4;0.6437413096427917;0.4759993255138397;-0.6438706517219543;0.002;0.7056562900543213;0.5456026792526245;-0.7043830156326294
5;0.6535729169845581;0.4868369400501251;-0.6533650159835815;0.002;0.7086237072944641;0.5492112636566162;-0.7066172957420349
6;0.6557620763778687;0.489358514547348;-0.6556541919708252;0.002;0.7117304801940918;0.5529813170433044;-0.7100291848182678
7;0.6601539850234985;0.49438995122909546;-0.6601966023445129;0.002;0.7138733863830566;0.5555910468101501;-0.7120643854141235
8;0.6598153710365295;0.49378684163093567;-0.6597123742103577;0.002;0.7144814133644104;0.5563737750053406;-0.712865948677063
9;0.6608176231384277;0.49496990442276;-0.6610701680183411;0.002;0.7155067920684814;0.5575730204582214;-0.7138422727584839
10;0.6625617742538452;0.49688956141471863;-0.6626016497612;0.002;0.71526700258255;0.5574812293052673;-0.7135633826255798
11;0.6650158762931824;0.49949607253074646;-0.6648709774017334;0.002;0.7161650657653809;0.5583756566047668;-0.71417635679245
12;0.6647579669952393;0.49946853518486023;-0.6646703481674194;0.002;0.7126143574714661;0.5540559887886047;-0.710085391998291
13;0.6659507155418396;0.500579297542572;-0.6659486293792725;0.002;0.7103919386863708;0.5514483451843262;-0.7075299024581909
14;0.6688194274902344;0.5039134621620178;-0.6687012314796448;0.002;0.7135826945304871;0.5553255081176758;-0.7108883857727051
15;0.6669771671295166;0.5020590424537659;-0.6670069694519043;0.002;0.7183539271354675;0.5611591935157776;-0.71620112657547
16;0.6693376302719116;0.5045453310012817;-0.6692508459091187;0.002;0.7168976664543152;0.5593081116676331;-0.7145323157310486
17;0.6691310405731201;0.5040416121482849;-0.6689896583557129;0.002;0.7192593216896057;0.562178909778595;-0.717314600944519
18;0.6708498597145081;0.5060147047042847;-0.670661211013794;0.002;0.6424530744552612;0.4741813838481903;-0.634815514087677
19;0.6701594591140747;0.5052616596221924;-0.6701574325561523;0.002;0.7215983867645264;0.5651500821113586;-0.7197548747062683
20;0.6735479235649109;0.5093159675598145;-0.6735590696334839;0.002;0.7243685722351074;0.5684329867362976;-0.7225788831710815
21;0.6746820211410522;0.5108389854431152;-0.6746877431869507;0.002;0.7246561646461487;0.568743884563446;-0.7228466272354126
