epoch,dice_coef,jacard_coef,loss,lr,mean_io_u_3,precision_3,recall_3,val_dice_coef,val_jacard_coef,val_loss,val_mean_io_u_3,val_precision_3,val_recall_3
0,0.4940301477909088,0.3329668939113617,0.14623576402664185,0.002,0.4704466462135315,0.6461793184280396,0.6899219751358032,0.0017024035332724452,0.0008633476682007313,9.345879554748535,0.4640558063983917,0.1737089306116104,0.000549478514585644
1,0.6022884845733643,0.4315685033798218,0.09074828028678894,0.002,0.46391308307647705,0.7356978058815002,0.6910223960876465,0.35497426986694336,0.21686241030693054,0.2635751962661743,0.46404290199279785,0.8274188041687012,0.18440839648246765
2,0.6200029850006104,0.44969573616981506,0.08630941063165665,0.002,0.4638858735561371,0.7405455708503723,0.6990193724632263,0.3237542510032654,0.1951500028371811,0.5466368198394775,0.4640383720397949,0.8410698771476746,0.20853665471076965
3,0.6271527409553528,0.4573844075202942,0.08446145057678223,0.002,0.46387943625450134,0.747442364692688,0.6993569731712341,0.4272848069667816,0.2737666666507721,0.18373458087444305,0.4640383720397949,0.8372140526771545,0.27965274453163147
4,0.6336072087287903,0.46406880021095276,0.08311787992715836,0.002,0.46387943625450134,0.7494080066680908,0.7044112682342529,0.6425173878669739,0.4742944538593292,0.08875594288110733,0.4640383720397949,0.7742631435394287,0.6402294635772705
5,0.6383230686187744,0.4692625105381012,0.08203691989183426,0.002,0.46387946605682373,0.7519818544387817,0.7107848525047302,0.6586885452270508,0.49175864458084106,0.07986840605735779,0.4640383720397949,0.7417033910751343,0.7436184287071228
6,0.6415532231330872,0.47268542647361755,0.08135737478733063,0.002,0.46387940645217896,0.7532562017440796,0.7114389538764954,0.5295055508613586,0.361656129360199,0.12649594247341156,0.4640383720397949,0.8832985162734985,0.3945043683052063
7,0.6420336961746216,0.4732411503791809,0.08101394027471542,0.002,0.46387940645217896,0.7548434138298035,0.7115064859390259,0.6180073618888855,0.44795191287994385,0.0852007269859314,0.4640383720397949,0.7953439950942993,0.605648398399353
8,0.6441890001296997,0.4756384491920471,0.08058232069015503,0.002,0.46387943625450134,0.7567138671875,0.7147589325904846,0.659296452999115,0.49253031611442566,0.0820184051990509,0.4640383720397949,0.7072383761405945,0.7978555560112
9,0.649941086769104,0.4818716049194336,0.0793885663151741,0.002,0.46387937664985657,0.7612689137458801,0.7183627486228943,0.6595916748046875,0.4926750659942627,0.07891421020030975,0.4640383720397949,0.7651169300079346,0.7139593362808228
10,0.6500977277755737,0.48197710514068604,0.07931384444236755,0.002,0.46387937664985657,0.7607365250587463,0.7175728678703308,0.6206004023551941,0.4510825276374817,0.09025537222623825,0.4640383720397949,0.8091040849685669,0.5758598446846008
11,0.6534407138824463,0.4857182502746582,0.07865645736455917,0.002,0.46387946605682373,0.7619258761405945,0.722428560256958,0.6445543766021729,0.4762076437473297,0.0775962620973587,0.4640383720397949,0.7777809500694275,0.698993980884552
12,0.6542032361030579,0.48661839962005615,0.07837837189435959,0.002,0.46387940645217896,0.7639216780662537,0.7206230759620667,0.6639731526374817,0.49761292338371277,0.07840434461832047,0.4640383720397949,0.7730740308761597,0.7060396075248718
13,0.6566485166549683,0.4892086088657379,0.07774695008993149,0.002,0.46387946605682373,0.7641630172729492,0.727332353591919,0.6586605310440063,0.49175646901130676,0.07985953986644745,0.4640383720397949,0.7241652607917786,0.779671847820282
14,0.6612986326217651,0.4943839907646179,0.07700546085834503,0.002,0.46387940645217896,0.7689782977104187,0.7278090715408325,0.6452559232711792,0.4769846200942993,0.07891475409269333,0.4640383720397949,0.7354702949523926,0.7800707221031189
15,0.6618340611457825,0.4948853552341461,0.07642461359500885,0.002,0.46387940645217896,0.7700759768486023,0.7317802906036377,0.6515839695930481,0.4840024709701538,0.07557948678731918,0.4640383720397949,0.7796531915664673,0.7179202437400818
16,0.6639020442962646,0.49730879068374634,0.07669923454523087,0.002,0.46387937664985657,0.7676642537117004,0.7333223819732666,0.6707804799079895,0.5051819682121277,0.07860871404409409,0.4640383720397949,0.789498507976532,0.6920565366744995
17,0.6679832339286804,0.501865565776825,0.0754096657037735,0.002,0.46387943625450134,0.7729156017303467,0.7366241216659546,0.6570259928703308,0.48971104621887207,0.07640914618968964,0.4640383720397949,0.7879323363304138,0.6988093852996826
18,0.6674783825874329,0.5012280344963074,0.07543890923261642,0.002,0.46387940645217896,0.7741841673851013,0.7341369390487671,0.6627365350723267,0.49639299511909485,0.08083804696798325,0.4640383720397949,0.7853937149047852,0.6934270262718201
19,0.6695486903190613,0.5035196542739868,0.07512849569320679,0.002,0.46387943625450134,0.7716732025146484,0.7411206960678101,0.6845308542251587,0.5210393071174622,0.07635379582643509,0.4640383720397949,0.719843327999115,0.8241371512413025
20,0.6851138472557068,0.5212734937667847,0.07096865028142929,0.00020000001,0.46387943625450134,0.7873954772949219,0.7564032077789307,0.6824232339859009,0.5185145735740662,0.07262187451124191,0.4640383720397949,0.7576544284820557,0.7863801717758179
21,0.6923256516456604,0.5296496748924255,0.07005977630615234,0.00020000001,0.46387937664985657,0.7890352010726929,0.7615141868591309,0.6771711707115173,0.5125155448913574,0.07187063246965408,0.4640383720397949,0.7679531574249268,0.7759315967559814
22,0.6937320828437805,0.5313083529472351,0.06961182504892349,0.00020000001,0.46387943625450134,0.7886139750480652,0.7666510343551636,0.6846262216567993,0.5210739374160767,0.07191619277000427,0.4640383720397949,0.7595342397689819,0.7908884286880493
23,0.6968907117843628,0.5350208282470703,0.06908072531223297,0.00020000001,0.46387937664985657,0.7911213636398315,0.7680582404136658,0.6823294162750244,0.5183915495872498,0.07129596918821335,0.4640383720397949,0.7834017276763916,0.7579578757286072
24,0.6982240080833435,0.5365993976593018,0.06896746903657913,0.00020000001,0.46387946605682373,0.7919477820396423,0.768894612789154,0.6851198077201843,0.5216352939605713,0.07096724957227707,0.4640383720397949,0.7772175073623657,0.7691363096237183
25,0.7000142931938171,0.5387416481971741,0.06831986457109451,0.00020000001,0.46387946605682373,0.7943477630615234,0.770107626914978,0.6868624091148376,0.5236726999282837,0.07085738331079483,0.4640383720397949,0.7811703085899353,0.7659879326820374
26,0.7024281620979309,0.5415222644805908,0.0678355023264885,0.00020000001,0.46387943625450134,0.7959009408950806,0.7726069688796997,0.6843867301940918,0.5207756757736206,0.07057058811187744,0.4640383720397949,0.7882959246635437,0.759549081325531
27,0.7040706276893616,0.5435687303543091,0.06765220314264297,0.00020000001,0.46387937664985657,0.7947360277175903,0.775646984577179,0.6938674449920654,0.531827986240387,0.070611871778965,0.4640383720397949,0.7826372385025024,0.768595278263092
28,0.7056683301925659,0.5454053282737732,0.06715962290763855,0.00020000001,0.46387940645217896,0.799575924873352,0.7738685607910156,0.6960508227348328,0.5344047546386719,0.07163797318935394,0.4640383720397949,0.752531111240387,0.8094455003738403
29,0.7081899046897888,0.5484298467636108,0.06676940619945526,0.00020000001,0.46387937664985657,0.7986918687820435,0.7784808278083801,0.6896352171897888,0.526841402053833,0.07044747471809387,0.4640383720397949,0.7914007902145386,0.7584607005119324
30,0.7105239629745483,0.5511837601661682,0.0660286694765091,0.00020000001,0.46387937664985657,0.8020250201225281,0.7799026966094971,0.6991522908210754,0.5380272269248962,0.07006314396858215,0.4640383720397949,0.7739070057868958,0.789155125617981
31,0.7134872674942017,0.5548009872436523,0.06555773317813873,0.00020000001,0.46387943625450134,0.8018060922622681,0.784664511680603,0.7005692720413208,0.5397243499755859,0.07034050673246384,0.4640383720397949,0.7684812545776367,0.7979468107223511
32,0.7158109545707703,0.5575814843177795,0.06507155299186707,0.00020000001,0.46387937664985657,0.8038156032562256,0.7854131460189819,0.7007800936698914,0.539982795715332,0.07052937895059586,0.4640383720397949,0.7630404829978943,0.805374264717102
33,0.7173059582710266,0.5594163537025452,0.06468869000673294,0.00020000001,0.46387937664985657,0.8060984015464783,0.7860593795776367,0.705848217010498,0.5460128784179688,0.06989596039056778,0.4640383720397949,0.7644606828689575,0.8119171261787415
34,0.7213445901870728,0.5643591284751892,0.0638442263007164,0.00020000001,0.46387943625450134,0.8075923323631287,0.7906587719917297,0.7045606970787048,0.5444803833961487,0.06930503249168396,0.4640383720397949,0.7742446064949036,0.7993088364601135
35,0.7234122157096863,0.5668842196464539,0.06346458941698074,0.00020000001,0.46387946605682373,0.8087353706359863,0.7922878861427307,0.705461323261261,0.5455252528190613,0.07001294195652008,0.4640383720397949,0.7617625594139099,0.8170512318611145
36,0.7265482544898987,0.5707316994667053,0.06266140937805176,0.00020000001,0.46387946605682373,0.8100477457046509,0.7974422574043274,0.7062150239944458,0.5465151071548462,0.07075140625238419,0.4640383720397949,0.7543122172355652,0.8223699331283569
37,0.7289798259735107,0.5737174153327942,0.06193513050675392,0.00020000001,0.46387946605682373,0.8146451711654663,0.7970534563064575,0.7177913188934326,0.5605083703994751,0.0727030485868454,0.4640383720397949,0.7379104495048523,0.8452634811401367
38,0.7319758534431458,0.5774381160736084,0.061670273542404175,0.00020000001,0.46387946605682373,0.8139463663101196,0.8002037405967712,0.7111947536468506,0.552399754524231,0.06873610615730286,0.4640383720397949,0.7821540832519531,0.7965508103370667
39,0.7330601811408997,0.5788144469261169,0.061045415699481964,0.00020000001,0.46387940645217896,0.8161785006523132,0.8025869131088257,0.7155988216400146,0.557722806930542,0.06980673968791962,0.4640383720397949,0.7826775312423706,0.7960161566734314
40,0.7368704676628113,0.5835957527160645,0.06032180041074753,0.00020000001,0.46387940645217896,0.8183121681213379,0.8049480319023132,0.7114448547363281,0.5527347922325134,0.06840675324201584,0.4640383720397949,0.8041533827781677,0.7707592844963074
41,0.7398465275764465,0.5872989892959595,0.059649307280778885,0.00020000001,0.46387937664985657,0.8208991289138794,0.8076768517494202,0.7180765867233276,0.5607655644416809,0.06939338147640228,0.4640383720397949,0.7695490717887878,0.8167924284934998
42,0.7422288656234741,0.5903587341308594,0.05916690453886986,0.00020000001,0.46387943625450134,0.8230987787246704,0.808127224445343,0.718692421913147,0.5615243911743164,0.06953012943267822,0.4640383720397949,0.7740097045898438,0.8116349577903748
43,0.7476204633712769,0.5971049070358276,0.05809606984257698,0.00020000001,0.46387940645217896,0.8254569172859192,0.8135340809822083,0.7258712649345398,0.5703038573265076,0.0693417638540268,0.4640383720397949,0.7836868166923523,0.8075637221336365
44,0.7505338788032532,0.6008121967315674,0.05723394826054573,0.00020000001,0.46387946605682373,0.8275189995765686,0.8171132206916809,0.7215457558631897,0.5650412440299988,0.07007113099098206,0.4640383720397949,0.8125978112220764,0.7656527161598206
