id,dsc,iou
1H_Nrf2_No_HTB_5_DAPI_5_2,0.19116310434808104,0.10568288650436022
1H_Nrf2_No_ADT_5_DAPI_3_2,0.18936586219978405,0.10458538157788702
1H_Nrf2_No_AP39_6_DAPI_3_3,0.13778277883210452,0.0739885644198337
1H_Nrf2_No_ADT_5_DAPI_4_0,0.15425966350366047,0.08357603745957166
1H_Nrf2_No_ADT_5_DAPI_3_3,0.20639725006464174,0.11507411553203759
1H_Nrf2_No_ADT_5_DAPI_4_5,0.23192148760330578,0.13117148699970785
1H_Nrf2_No_HTB_5_DAPI_3_1,0.13317877382792376,0.07133986477162964
1H_Nrf2_UV_AP123_03_2_DAPI_1_1,0.3010210174349176,0.17717759932523855
1H_Nrf2_UV_AP123_03_2_DAPI_1_0,0.2247553214469683,0.12660526414317272
1H_Nrf2_UV_AP123_03_4_DAPI_3_3,0.28207506337723365,0.16419522027065936
1H_Nrf2_No_HTB_5_DAPI_1_2,0.1609795558170319,0.08753549006278243
1H_Nrf2_No_ADT_5_DAPI_2_3,0.14833935125779596,0.08011152116807142
Average,0.19676993580945404,0.11008695268624602
